bone,species,side,fish,n_lm,scale,LM1_X,LM1_Y,LM2_X,LM2_Y,LM3_X,LM3_Y,LM4_X,LM4_Y,LM5_X,LM5_Y,LM6_X,LM6_Y,LM7_X,LM7_Y,LM8_X,LM8_Y,LM9_X,LM9_Y,LM10_X,LM10_Y,LM11_X,LM11_Y,LM12_X,LM12_Y,LM13_X,LM13_Y,LM14_X,LM14_Y,LM15_X,LM15_Y,LM16_X,LM16_Y,LM17_X,LM17_Y,LM18_X,LM18_Y,LM19_X,LM19_Y,LM20_X,LM20_Y,LM21_X,LM21_Y,LM22_X,LM22_Y,LM23_X,LM23_Y,LM24_X,LM24_Y,LM25_X,LM25_Y,LM26_X,LM26_Y,LM27_X,LM27_Y,LM28_X,LM28_Y,LM29_X,LM29_Y,LM30_X,LM30_Y,LM31_X,LM31_Y,LM32_X,LM32_Y,LM33_X,LM33_Y,LM34_X,LM34_Y,LM35_X,LM35_Y,LM36_X,LM36_Y
Dentary,Acipenser baerii,L,1,7,0.003582,1944.0,940.0,1853.0,792.0,1866.0,643.0,1787.0,355.0,1874.0,124.0,1964.0,340.0,1969.0,744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser baerii,R,1,7,0.003647,280.0,925.0,190.0,783.0,218.0,633.0,130.0,329.0,216.0,117.0,316.0,313.0,312.0,745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser gueldenstaedtii,L,1,7,0.003546,1552.0,707.0,1516.0,571.0,1566.0,461.0,1566.0,271.0,1694.0,85.0,1665.0,289.0,1607.0,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser gueldenstaedtii,L,2,7,0.003623,1812.0,623.0,1738.0,517.0,1761.0,432.0,1697.0,253.0,1755.0,84.0,1787.0,198.0,1829.0,441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser gueldenstaedtii,L,3,7,0.003596,248.0,655.0,159.0,518.0,174.0,414.0,106.0,193.0,140.0,42.0,221.0,204.0,270.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser gueldenstaedtii,L,4,7,0.003558,269.0,570.0,191.0,497.0,174.0,375.0,108.0,216.0,130.0,47.0,207.0,190.0,277.0,459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser gueldenstaedtii,L,5,7,0.003643,263.0,1024.0,175.0,836.0,212.0,660.0,155.0,404.0,288.0,121.0,348.0,369.0,315.0,819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser gueldenstaedtii,R,2,7,0.003623,259.0,647.0,198.0,549.0,233.0,461.0,196.0,246.0,276.0,115.0,309.0,240.0,292.0,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser gueldenstaedtii,R,3,7,0.003623,150.0,676.0,132.0,530.0,183.0,437.0,204.0,216.0,296.0,81.0,313.0,277.0,234.0,538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser gueldenstaedtii,R,4,7,0.00361,185.0,614.0,132.0,521.0,145.0,385.0,114.0,221.0,174.0,78.0,219.0,229.0,211.0,487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser gueldenstaedtii,R,5,7,0.003578,251.0,1040.0,171.0,892.0,213.0,711.0,169.0,399.0,294.0,144.0,353.0,397.0,327.0,823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser ruthenus,L,1,7,0.003672,1239.0,956.0,1195.0,793.0,1287.0,478.0,1258.0,329.0,1355.0,65.0,1445.0,321.0,1367.0,775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser ruthenus,L,3,7,0.003586,1846.0,608.0,1770.0,470.0,1816.0,333.0,1792.0,196.0,1854.0,76.0,1912.0,224.0,1887.0,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser ruthenus,L,4,7,0.002297,1047.0,1131.0,953.0,887.0,976.0,713.0,924.0,410.0,985.0,169.0,1094.0,355.0,1113.0,863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser ruthenus,R,1,7,0.003669,284.0,1063.0,222.0,880.0,267.0,690.0,209.0,463.0,302.0,163.0,382.0,424.0,377.0,836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser ruthenus,R,3,7,0.003605,156.0,583.0,88.0,446.0,123.0,340.0,98.0,173.0,162.0,62.0,217.0,143.0,199.0,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser ruthenus,R,4,7,0.002282,158.0,1049.0,92.0,796.0,127.0,581.0,104.0,315.0,181.0,76.0,278.0,334.0,259.0,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Acipenser ruthenus,R,5,7,0.002428,296.0,963.0,217.0,805.0,251.0,612.0,214.0,395.0,296.0,278.0,348.0,342.0,353.0,734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentary,Bester,L,2,7,0.00359,162.0,1064.0,119.0,934.0,173.0,687.0,113.0,533.0,252.0,81.0,271.0,281.0,318.0,779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
